Threshold,Accuracy,Precision,Recall,F1-Score
0.1,0.9977,0.9973,0.998,0.9977
0.15,0.9977,0.9973,0.998,0.9977
0.2,0.9977,0.9977,0.9977,0.9977
0.25,0.9977,0.9977,0.9977,0.9977
0.3,0.9977,0.998,0.9973,0.9977
0.35,0.9977,0.9983,0.997,0.9977
0.4,0.9975,0.9983,0.9967,0.9975
0.45,0.9975,0.9987,0.9963,0.9975
0.5,0.9975,0.9987,0.9963,0.9975
0.55,0.9977,0.999,0.9963,0.9977
0.6,0.9973,0.999,0.9957,0.9973
0.65,0.9972,0.999,0.9953,0.9972
0.7,0.9967,0.999,0.9943,0.9967
0.75,0.9968,0.9993,0.9943,0.9968
0.8,0.9967,0.9993,0.994,0.9967
0.85,0.9963,0.9997,0.993,0.9963
0.9,0.9955,1.0,0.991,0.9955
0.95,0.9938,1.0,0.9877,0.9938
